experiment_id,detector,base_resolution_w,base_resolution_h,reid_object_w,reid_object_h,IDF1,MOTA,latency_detection_filter_ms,latency_reid_ms
0,yolo11x,1280,736,18,18,0.79928,0.76998,370.17156,34.76799
1,yolo11x,960,544,18,18,0.61960,0.56040,229.88583,33.31140
2,yolo11x,640,384,18,18,0.30917,0.23515,111.49907,24.83227
6,yolo11l,1280,736,18,18,0.72672,0.67474,207.82990,36.83685
7,yolo11l,960,544,18,18,0.55070,0.48727,135.67060,33.05091
8,yolo11l,640,384,18,18,0.35639,0.26226,69.14341,28.70387
12,yolo11m,1280,736,18,18,0.70032,0.64383,130.53692,36.62904
13,yolo11m,960,544,18,18,0.55070,0.48727,100.13525,32.27148
14,yolo11m,640,384,18,18,0.35639,0.26226,47.44823,17.47079
15,yolo11s,1280,736,18,18,0.58494,0.53018,89.95332,36.55098
16,yolo11s,960,544,18,18,0.40647,0.31504,55.19455,31.14198
17,yolo11s,640,384,18,18,0.17036,0.10423,24.90750,17.00477
18,yolo11n,1280,736,18,18,0.28834,0.20582,31.38791,26.24789
19,yolo11n,960,544,18,18,0.16606,0.10257,20.79534,18.08481
20,yolo11n,640,384,18,18,0.02322,0.01167,15.06442,3.25362
